Title,Authors,Year,Journal,Citations,URL
Artificial intelligence progress report,"['M Minsky', 'SA Papert']",1972,N/A,129,https://dspace.mit.edu/bitstream/handle/1721.1/6087/AIM-252.pdf
Encyclopedia of artificial intelligence second edition,['SC Shapiro'],1992,N/A,1011,http://www.cse.yorku.ca/~tsotsos/Homepage%20of%20John%20K_files/teai-92.PDF
Artificial intelligence policy: a primer and roadmap,['R Calo'],2017,N/A,714,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=3015350
Artificial intelligence—the revolution hasn't happened yet,['MI Jordan'],2019,N/A,373,https://assets.pubpub.org/atiu3k8w/ff85d7c1-5135-4ab0-a3cc-c03bc966dba3.pdf
Artificial intelligence and life in 2030: the one hundred year study on artificial intelligence,"['P Stone', 'R Brooks', 'E Brynjolfsson', 'R Calo']",2022,N/A,1106,https://arxiv.org/pdf/2211.06318
A definition of artificial intelligence,['D Dobrev'],2012,N/A,156,https://arxiv.org/pdf/1210.1568
An automobile with artificial intelligence,"['S Tsugawa', 'T Yatabe', 'T Hirose']",1979,N/A,169,N/A
Brief history of artificial intelligence,"['N Muthukrishnan', 'F Maleki', 'K Ovens']",2020,N/A,203,N/A
Artificial intelligence: state of the art,['B Mondal'],2020,N/A,123,https://www.academia.edu/download/86061994/978-3-030-32644-9_32.pdf
Bayesian artificial intelligence,"['KB Korb', 'AE Nicholson']",2010,N/A,2799,N/A
Logical foundations of artificial intelligence,"['MR Genesereth', 'NJ Nilsson']",2012,N/A,3581,http://kryten.mm.rpi.edu/COURSES/LOGAIS02/nonmonotonic.pdf
Artificial intelligence in cardiology,"['KW Johnson', 'J Torres Soto', 'BS Glicksberg']",2018,N/A,1091,https://www.jacc.org/doi/full/10.1016/j.jacc.2018.03.521
A mobius automation: An application of artificial intelligence techniques,['NJ Nilsson'],1969,N/A,1060,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=ee9247f841651b32c9b5692dbe59116282c9724b
